iter	RMSE
0	0.8520704392
1	0.8183708804
2	0.7896451252
3	0.764755238
4	0.7436475661
5	0.7248126513
6	0.7091520112
7	0.6956372552
8	0.6833163503
9	0.6726832053
10	0.6629386644
11	0.6551055059
12	0.6475456786
13	0.6413004505
14	0.6353114264
15	0.6304411251
16	0.6257676899
17	0.6218351907
18	0.6182261845
19	0.6144697447
20	0.6113690593
21	0.6085224826
22	0.6059316627
23	0.6038190138
24	0.6012490524
25	0.5995181826
26	0.5977837968
27	0.5960333243
28	0.5940176354
29	0.5923377867
30	0.5907438841
31	0.589509201
32	0.5881847635
33	0.5872017906
34	0.5861945168
35	0.585283316
36	0.5839002653
37	0.5830455442
38	0.5823101073
39	0.5813312759
40	0.5805351381
41	0.5797502651
42	0.5791258453
43	0.5780726969
44	0.5773852392
45	0.5766371156
46	0.5761089165
47	0.5755999543
48	0.5751682818
49	0.5741534553
