iter	Passed	Remaining
0	151	7422
1	157	3782
2	163	2562
3	169	1945
4	175	1577
5	181	1329
6	187	1149
7	192	1012
8	198	904
9	204	817
10	210	745
11	215	683
12	221	630
13	226	583
14	232	542
15	237	505
16	243	472
17	248	441
18	253	414
19	259	389
20	264	365
21	269	343
22	275	323
23	280	303
24	286	286
25	290	268
26	295	251
27	301	236
28	306	222
29	311	207
30	317	194
31	322	181
32	328	168
33	334	157
34	339	145
35	344	133
36	350	123
37	355	112
38	360	101
39	366	91
40	371	81
41	377	71
42	381	62
43	387	52
44	393	43
45	398	34
46	403	25
47	408	17
48	413	8
49	418	0
